Name,Latitude,Longitude,Con heridos,Con muertos,Solo daños,Atropello,Caida Ocupante,Choque,Incendio,Otro,Volcamiento,Semana,Fin de semana
aguas frias,6.232417585189172,-75.64848069925391,66,0,22,20,8,36,0,17,7,56,32
aldea pablo vi,6.287882915464203,-75.54179610560001,65,0,18,24,16,34,0,5,4,48,35
alejandro echavarria,6.237879578034664,-75.54560800731706,722,2,308,108,113,603,0,148,60,735,297
alejandria,6.199803597644271,-75.56884703680922,198,0,433,18,19,541,0,38,15,543,88
alfonso lopez,6.284451982450336,-75.57602744193694,816,0,346,148,185,567,0,193,69,839,323
altamira,6.279789297562592,-75.58135367492025,476,0,301,49,121,503,0,85,19,604,173
altavista,6.224302063588919,-75.60837565869438,282,0,164,68,39,251,0,67,21,318,128
altavista sectro central,6.222436624978694,-75.62633149967068,175,0,40,39,35,88,0,43,10,143,72
altos del poblado,6.211756370912036,-75.55212939605889,151,1,149,14,22,219,0,32,14,251,50
andalucia,6.298029570968562,-75.55496566218982,187,0,78,69,35,110,0,37,14,187,78
antonio narino,6.259097819319609,-75.62137384770338,206,0,63,38,42,118,0,47,24,178,91
aranjuez,6.280727832307005,-75.56083598335859,323,0,126,67,58,236,0,64,24,324,125
asomadera no.1,6.2289909665272525,-75.56320662508855,402,2,464,26,58,664,0,81,39,641,227
asomadera no.2,6.219794842395759,-75.56231200433002,225,0,390,12,41,488,0,48,26,484,131
asomadera no.3,6.219163545279329,-75.55865953371239,59,0,73,2,7,100,0,15,8,102,30
astorga,6.209975754439693,-75.57347099620851,113,0,210,11,2,283,0,19,8,270,53
aures no.1,6.2874656754816245,-75.5945658998848,456,0,123,81,123,221,0,121,33,391,188
aures no.2,6.291967731284695,-75.59050811602403,574,0,157,89,170,269,0,152,51,529,202
b. cerro el volador,6.272151632454691,-75.58086110910854,139,0,80,32,20,128,0,29,10,168,51
barrio caycedo,6.242871887376718,-75.55421140210282,675,1,380,118,114,602,0,156,66,757,299
barrio colombia,6.2273303451821125,-75.57275832895807,558,1,721,57,69,1019,0,98,37,1088,192
barrio colon,6.242653953438415,-75.5686924135218,1780,5,2691,385,209,3489,0,297,96,3552,924
barrio cristobal,6.247804026508135,-75.60895883317725,93,0,74,11,12,129,0,14,1,124,43
barrios de jesus,6.229908407273603,-75.53677963288382,283,2,129,70,53,211,0,57,23,307,107
batallon girardot,6.260225465513639,-75.54656968662074,10,0,2,6,1,5,0,0,0,9,3
belalcazar,6.295854166368399,-75.56434290732632,394,0,329,40,48,530,0,84,21,537,186
belencito,6.248388227937273,-75.6173566501044,132,0,48,23,20,99,0,33,5,134,46
bello horizonte,6.282606220470707,-75.58946620968389,245,0,120,58,44,212,0,35,16,264,101
belen,6.232513175771371,-75.5991676344197,1243,3,1708,212,159,2285,0,218,80,2245,709
berlin,6.285739716239728,-75.55555233570291,702,2,324,193,117,533,0,145,40,719,309
bermejal-los alamos,6.280855484357515,-75.56466769372162,184,1,70,58,27,124,0,34,12,181,74
betania,6.243916795854615,-75.61997234357159,96,0,35,25,28,52,0,18,8,90,41
blanquizal,6.2748870482337775,-75.60561765297088,58,0,28,19,9,43,0,11,4,61,25
bolivariana,6.246394889042791,-75.59067583499507,401,1,448,51,50,660,0,71,18,672,178
bombona no.1,6.243687666941202,-75.56205433149648,657,2,770,90,69,1127,0,105,38,1069,360
bombona no.2,6.228750277159681,-75.54489638350894,265,1,165,48,47,239,0,66,31,306,125
boqueron,6.317836850356666,-75.65444378146508,1,0,0,0,0,1,0,0,0,0,1
bosques de san pablo,6.277366145277009,-75.58284477458933,180,0,177,21,37,247,0,44,8,257,100
boston,6.247727407592524,-75.55876657722644,1457,2,1291,273,151,2049,0,192,85,2051,699
boyaca,6.304262777836765,-75.5648359740346,476,0,259,67,101,427,0,105,35,542,193
brasilia,6.274212676940874,-75.5595253076392,460,0,178,90,61,381,0,75,31,445,193
buenos aires,6.240653841197921,-75.55596752114556,722,0,458,95,87,816,0,137,45,854,326
buga patio bonito,6.216735844773792,-75.64370800095642,32,0,18,4,4,29,0,7,6,36,14
cabecera urbana corregimiento san cristobal,6.277850949896413,-75.63142648418052,477,1,205,118,102,333,0,103,27,462,221
calasanz,6.262613085814189,-75.5986585669677,432,0,443,41,76,661,0,83,14,683,192
calasanz parte alta,6.266229162543549,-75.60186226503333,343,0,297,33,70,441,0,74,22,469,171
calle nueva,6.241300036085523,-75.57285294990905,750,2,1268,138,101,1636,0,108,37,1678,342
campo alegre,6.253513877394894,-75.61280306531499,463,1,192,70,68,402,0,89,27,508,148
campo amor,6.212910247476567,-75.58259793898408,2416,8,2697,245,342,3892,1,466,175,4218,903
campo valdes no.1,6.273408794289469,-75.55598512571495,1125,4,373,233,155,868,1,184,61,1069,433
campo valdes no.2,6.272971885635465,-75.5519415667468,912,1,198,235,145,522,0,160,49,736,375
caribe,6.270588803293236,-75.5732065951716,2495,8,2345,192,352,3593,0,540,171,3870,978
carlos e. restrepo,6.257837696917074,-75.58014933570563,1534,5,1797,155,242,2538,0,304,97,2673,663
carpinelo,6.288892826701,-75.5386193512602,122,0,30,50,21,44,0,25,12,95,57
castilla,6.290906500862886,-75.5721126131573,2177,2,717,350,411,1484,0,503,148,2117,779
castropol,6.219411093635709,-75.5673374484841,620,0,771,66,77,1078,0,131,39,1146,245
cataluna,6.231254485190874,-75.55139249468509,172,0,143,25,32,179,0,55,24,228,87
cementerio universal,6.27877569365169,-75.57375499603064,120,0,131,7,19,185,0,33,7,188,63
centro administrativo,6.244129369334325,-75.57369855789743,186,0,174,25,28,251,0,41,15,303,57
cerro nutibara,6.238538344168805,-75.57992748958831,626,2,554,50,77,882,0,122,51,968,214
corazon de jesus,6.249981454827398,-75.57714738437785,1087,4,1624,214,134,2139,0,170,58,2196,519
cristo rey,6.206193724047849,-75.58473842480136,1204,1,1142,164,124,1753,0,220,86,1821,526
cuarta brigada,6.261387440572275,-75.58795605776017,720,2,665,116,112,999,1,120,39,1124,263
cucaracho,6.280971783951311,-75.60246434483437,785,2,296,69,194,575,0,200,45,782,301
cordoba,6.2806023478365,-75.5764691904634,422,0,207,60,110,337,0,98,24,465,164
diego echavarria,6.215613294586619,-75.59553112283487,247,1,236,17,44,354,0,51,18,385,99
doce de octubre no.1,6.306998441400381,-75.57922148933804,463,0,127,117,121,233,0,97,22,408,182
doce de octubre no.2,6.30056687132072,-75.57912234959778,556,1,155,127,124,318,0,106,37,486,226
eduardo santos,6.259252672917804,-75.6283806027201,37,0,15,5,6,22,0,16,3,37,15
el astillero,6.2479222110070864,-75.67741414922298,4,0,0,0,0,2,0,2,0,4,0
el castillo,6.190439027741383,-75.57235069295145,168,0,299,15,15,390,0,28,19,392,75
el chagualo,6.261557799320172,-75.57095109678362,1124,3,1055,192,160,1566,0,196,68,1717,465
el compromiso,6.287841932857739,-75.54352162111357,119,0,42,47,14,78,0,15,7,105,56
el corazon,6.247054822971174,-75.62701625848491,103,0,38,28,18,75,0,16,4,86,55
el corazon el morro,6.248031030691497,-75.64702705876932,12,0,5,4,0,10,0,2,1,11,6
el danubio,6.253209801200354,-75.60834947823905,282,2,147,32,44,289,0,51,15,325,106
el diamante,6.285376160418012,-75.58684925392747,833,1,295,146,230,500,1,220,32,819,310
el diamante no.2,6.18423512196521,-75.57451007387756,111,0,231,7,12,292,0,20,11,270,72
el llano,6.298151106986518,-75.64680996699879,20,1,19,2,4,26,0,6,2,34,6
el llano se,6.197499902473106,-75.50111376811043,0,0,1,0,0,1,0,0,0,1,0
el nogal-los almendros,6.237316603507921,-75.59663174516969,212,0,257,23,19,386,0,30,11,388,81
el pesebre,6.272683078892319,-75.5991064415534,172,1,84,34,44,135,0,36,8,175,82
el picacho,6.301359552843374,-75.5914602863212,20,0,6,6,6,7,0,6,1,16,10
el pinal,6.2444481839954005,-75.54553943747297,411,0,208,117,84,293,0,81,44,425,194
el plan,6.2038480250638885,-75.52103244917596,66,0,18,10,22,25,0,20,7,54,30
el poblado,6.209236336815373,-75.56789562511935,599,1,1177,83,70,1431,1,138,54,1369,408
el pomar,6.268249059365426,-75.55237293359721,321,0,103,75,47,225,1,54,22,289,135
el progreso,6.27431559374645,-75.57675903295333,1010,1,987,111,196,1475,0,165,51,1550,448
el raizal,6.26919740103021,-75.54551867129871,464,0,158,107,87,284,0,95,49,442,180
el rincon,6.210408995962605,-75.60318423536575,652,0,416,100,121,583,1,197,66,770,298
el rodeo,6.205776720682738,-75.59384666722673,128,1,78,22,20,125,0,23,17,152,55
el salado,6.254950722208503,-75.62717465758008,149,0,54,34,32,88,0,38,11,142,61
el salvador,6.237053370196725,-75.56189978532777,443,0,254,77,75,394,0,114,37,482,215
el socorro,6.261007991834936,-75.6180467134763,60,1,18,24,8,35,0,7,5,49,30
el tesoro,6.202989524595347,-75.55583920912665,319,0,479,25,57,628,1,57,30,626,172
el triunfo,6.307672620901568,-75.58523946010062,53,0,13,17,10,17,0,20,2,48,18
el uvito,6.290603630472904,-75.66244074309364,1,0,0,0,0,1,0,0,0,0,1
el velodromo,6.25427499168149,-75.59552836333695,428,0,381,46,57,615,0,70,21,622,187
enciso,6.249063239539273,-75.55067777433574,537,0,195,101,80,408,0,92,51,513,219
estacion villa,6.255686896061082,-75.5691234191847,824,0,828,243,106,1103,0,152,48,1250,402
estadio,6.259921271583234,-75.59414615531817,635,1,507,111,84,782,0,132,34,872,271
facultad veterinaria y zootecnia u.de.a.,6.27202295913079,-75.58752907159374,96,0,66,13,14,111,0,19,5,122,40
facultad de minas u. nacional,6.273631764814215,-75.58979322045165,787,0,596,46,187,858,0,237,55,1085,298
ferrini,6.269018529430255,-75.59692880823658,168,1,150,26,30,220,0,31,12,246,73
florencia,6.310406268631225,-75.56686531748899,269,0,135,46,67,226,0,50,15,288,116
florida nueva,6.251392665199905,-75.59094414428915,510,0,474,111,64,697,0,84,28,757,227
francisco antonio zea,6.285907530257831,-75.57353118675891,420,0,200,82,72,346,0,93,27,439,181
fuente clara,6.277476759264293,-75.6051057323104,139,2,26,18,18,96,0,26,9,121,46
fatima,6.235548379678385,-75.5850620360539,674,1,591,58,61,1016,0,93,38,1007,259
gerona,6.238336920908201,-75.55883282124492,382,0,170,79,54,308,0,78,33,388,164
girardot,6.297561102926483,-75.56900336702392,707,0,287,97,156,524,0,158,59,741,253
granada,6.230145327844433,-75.59329352630577,260,0,276,55,22,400,0,39,20,421,115
granizal,6.29259961470604,-75.54645241958232,230,0,144,97,28,187,0,48,14,241,133
guayabal,6.199038517983592,-75.5854475304057,1240,5,1345,142,160,1939,0,251,98,2155,435
guayaquil,6.247587789127119,-75.57242384031318,1424,3,2076,346,181,2719,1,204,52,2871,632
hospital san vicente de paul,6.262886438584794,-75.56518092247418,80,0,76,13,9,113,0,12,9,130,26
hector abad gomez,6.299796881784668,-75.55949584121996,752,6,492,62,107,846,0,179,56,946,304
jardin botanico,6.270506281342611,-75.56358888129927,116,0,109,20,20,153,0,25,7,163,62
jesus nazareno,6.259917117770527,-75.56740709498105,1199,3,980,183,159,1540,1,230,69,1695,487
juan pablo ii,6.229575837857989,-75.52961099511764,38,0,7,14,8,12,0,4,7,29,16
juan xxiii la quiebra,6.265875773945011,-75.61414087532125,125,0,53,40,29,72,0,26,11,122,56
kennedy,6.288822804563525,-75.58247765828743,734,1,306,214,162,482,0,153,30,719,322
llanaditas,6.252887906294844,-75.53981533817922,66,0,22,33,10,32,0,9,4,59,29
la aguacatala,6.198657667714923,-75.57752178695155,958,1,1375,54,124,1896,1,180,79,1965,369
la alpujarra,6.243878868709421,-75.57727715947576,1054,3,1696,90,142,2264,0,193,64,2260,493
la america,6.251641511354435,-75.60453644377857,739,2,683,140,101,993,0,137,53,1112,312
la avanzada,6.294513638023825,-75.53833102983889,165,0,50,64,26,95,0,20,10,138,77
la candelaria,6.249516398201677,-75.56652654599529,2447,7,3428,985,354,4120,0,315,108,4759,1123
la castellana,6.240448492610104,-75.6080286545743,417,0,443,59,35,703,0,48,15,662,198
la colina,6.2000015520486444,-75.59298281229638,388,1,308,62,86,418,0,99,32,509,188
la cruz,6.270332502873377,-75.53812348437471,102,0,36,39,16,57,0,18,8,94,44
la esperanza,6.216099274418646,-75.6214924801725,624,1,160,167,141,315,0,127,35,544,241
la esperanza no.2,6.291193026430603,-75.54170874924294,155,1,37,63,19,77,0,20,14,122,71
la floresta,6.25631373537207,-75.60157490482827,501,0,342,81,80,567,0,90,25,643,200
la florida,6.171449752649432,-75.6677434529562,357,1,697,46,42,885,0,57,25,858,197
la francia,6.300400213890431,-75.55330128639393,240,0,124,77,50,183,0,37,17,254,110
la frontera,6.305128458689849,-75.55499226500356,167,1,82,52,26,129,0,32,11,177,73
la gloria,6.223100569973739,-75.60333560984238,634,0,483,50,109,751,0,164,43,849,268
la hondonada,6.203425271536977,-75.60307965640322,125,0,106,11,30,152,0,34,4,172,59
la isla,6.3033887293198,-75.54942350054976,167,2,57,77,21,86,0,33,9,149,77
la ladera,6.254267760215912,-75.5477655416557,50,0,29,7,10,46,0,12,4,62,17
la libertad,6.240938344513627,-75.54246242908597,282,0,147,78,62,194,0,75,20,308,121
la loma,6.265033373114126,-75.63313509603746,249,0,117,41,52,193,0,59,21,249,117
la loma de los bernal,6.218474172553013,-75.60342625114443,235,0,251,28,43,336,0,61,18,340,146
la mansion,6.259213978165198,-75.55576405215223,249,0,127,41,33,240,0,46,16,275,101
la milagrosa,6.2357285069964,-75.5548555757354,377,0,221,75,65,374,0,62,22,417,181
la mota,6.211007679431369,-75.59865038592463,355,0,248,30,58,407,0,76,32,445,158
la palma,6.268858057900885,-75.66243018091458,371,2,311,67,56,476,0,63,22,507,177
la pilarica,6.276329978141059,-75.58556214604704,412,1,323,43,72,520,0,78,23,558,178
la pradera,6.260857212894392,-75.61090238018858,317,1,109,66,59,198,0,75,29,282,145
la rosa,6.290794155894799,-75.5592983202318,221,0,69,70,33,137,0,39,11,195,95
la salle,6.283668210056455,-75.54850721531054,489,2,157,172,67,282,0,89,38,437,211
la sierra,6.233622404282523,-75.52786212303113,18,0,2,1,6,1,0,10,2,12,8
la verde,6.196023850933458,-75.64370231329916,44,0,72,3,8,92,0,9,4,92,24
la pinuela,6.281339597622486,-75.55596441156601,312,0,106,57,63,226,0,48,24,291,127
lalinde,6.212909620602762,-75.56696874723774,73,0,113,4,7,166,0,5,4,154,32
las acacias,6.241226441894449,-75.60091122183971,721,0,931,76,111,1286,0,140,39,1248,404
las brisas,6.308476888820643,-75.56167799942048,721,3,445,71,122,750,0,182,44,877,292
las esmeraldas,6.278930974167461,-75.55469304693715,224,0,66,54,40,140,0,40,16,201,89
las estancias,6.2324485581743785,-75.53285830566084,266,1,73,78,57,130,0,51,24,228,112
las granjas,6.278903401629572,-75.54819713920762,963,2,321,291,152,595,0,184,64,871,415
las independencias,6.2492918988592505,-75.62376994868157,73,0,11,38,9,16,0,12,9,63,21
las lomas no.1,6.21108099754319,-75.56206872426165,248,1,410,18,33,535,0,56,17,517,142
las lomas no.2,6.210751292692196,-75.55731103360812,167,0,233,8,18,318,0,41,15,340,60
las mercedes,6.235945028663596,-75.61003816757069,227,0,158,34,33,254,0,44,20,276,109
las palmas,6.202421792157788,-75.54117803883453,413,1,314,61,69,454,1,95,48,554,174
las playas,6.220618126614487,-75.59554993240792,380,0,261,31,54,437,0,85,34,485,156
las violetas,6.232154507178048,-75.61396024735433,249,1,145,66,48,218,0,44,19,269,126
laureles,6.24325537868836,-75.5955700546328,805,1,925,70,60,1433,0,134,34,1366,365
lopez de  mesa,6.28364369281593,-75.58123601668655,763,0,250,94,221,465,0,196,37,765,248
lorena,6.248175938320333,-75.59855210188297,491,2,508,90,64,757,1,71,18,743,258
loreto,6.23075517096006,-75.55759775411146,589,1,290,146,100,439,0,143,52,645,235
los alcazares,6.260784255204074,-75.60457711526844,326,0,195,53,66,329,0,50,23,378,143
los alpes,6.230501738907326,-75.60781971796192,315,0,201,47,49,331,0,70,19,383,133
los balsos no.1,6.188585222611299,-75.5608143586324,159,2,313,6,19,397,0,37,15,362,112
los balsos no.2,6.195550799976109,-75.57041495085275,233,0,687,30,28,809,0,40,13,722,198
los cerros el vergel,6.233788844641049,-75.54423980691018,162,0,86,35,23,137,0,43,10,174,74
los colores,6.266095480278705,-75.59247431648564,1694,4,1085,202,330,1731,2,400,118,2078,705
los conquistadores,6.242459349842289,-75.58268543541288,1823,4,2263,168,225,3192,0,379,126,3260,830
los mangos,6.2506564683745,-75.54483734842337,446,1,173,126,80,298,0,79,37,449,171
los naranjos,6.196050504046027,-75.55911696487276,238,1,509,21,31,620,0,53,23,577,171
los pinos,6.252155294573655,-75.59888377394566,577,3,557,83,86,803,1,130,34,846,291
los angeles,6.252517637333747,-75.55820232347419,813,4,514,122,86,945,0,136,42,1011,320
manila,6.21337840382446,-75.57324245647567,762,1,1424,66,102,1816,0,154,49,1802,385
manrique central no.1,6.265974364843522,-75.55714991893862,850,3,444,104,120,844,0,177,52,971,326
manrique central no.2,6.2644987638044265,-75.55352508938506,600,2,222,106,112,457,0,110,39,605,219
manrique oriental,6.264174309763606,-75.54934590264828,754,2,295,160,108,605,0,133,45,749,302
maria cano-carambolas,6.282341053283031,-75.53981164275955,56,0,19,33,1,27,0,11,3,36,39
media luna,6.235049722541728,-75.51582815534996,6,0,3,1,1,6,0,1,0,5,4
metropolitano,6.263772265599164,-75.60877652105513,31,0,12,6,9,15,0,8,5,29,14
mirador del doce,6.303203754746888,-75.58325272588925,39,0,4,11,14,6,0,12,0,33,10
miraflores,6.237114720718384,-75.55004540941357,459,0,249,56,53,485,0,81,33,494,214
miranda,6.275102522509002,-75.56263649129689,711,4,470,156,87,780,0,122,40,832,353
miravalle,6.235574116408857,-75.60027184308426,53,0,51,8,7,73,0,10,6,69,35
monteclaro,6.28779044010874,-75.59988323954555,98,0,29,15,26,51,0,26,9,84,43
moravia,6.278581523195632,-75.56678389904627,843,2,519,218,111,834,0,154,47,991,373
moscu no.1,6.291568639648241,-75.55372518707702,268,0,129,79,54,203,0,42,19,256,141
moscu no.2,6.289939894439491,-75.54927297803684,311,2,99,109,60,161,0,59,23,269,143
naranjal,6.250791760973252,-75.58413105395633,1431,4,1799,167,216,2444,0,319,88,2551,683
nueva villa de la iguana,6.260365866611313,-75.58177852547534,331,0,228,32,48,398,0,64,17,421,138
nueva villa del aburra,6.235634697393034,-75.60391324968772,112,0,112,18,10,167,0,21,8,169,55
nuevos conquistadores,6.250440785672914,-75.6282051801655,73,0,23,26,16,32,0,17,5,63,33
ocho de marzo,6.228259411901697,-75.52965761629783,47,0,18,12,2,36,0,10,5,46,19
olaya herrera,6.273156089932221,-75.61347756048625,178,3,66,55,33,112,0,38,9,169,78
oleoducto,6.28436023324883,-75.5691210229514,719,7,447,52,98,845,0,122,56,867,306
oriente,6.275744805001231,-75.54003788633591,87,0,16,31,13,37,0,14,8,65,38
pablo vi,6.303408792843269,-75.55326331329218,76,0,33,38,13,46,0,6,6,72,37
pajarito,6.283874322603414,-75.60549558696025,137,0,59,11,37,94,0,44,10,149,47
palenque,6.279096490837878,-75.59465337394165,199,0,136,28,35,220,0,42,10,237,98
palermo,6.28713496704836,-75.56422256625693,364,0,184,89,57,313,0,62,27,404,144
palmitas sector central,6.344537012746828,-75.67024437912693,2,0,0,0,0,2,0,0,0,1,1
parque juan pablo ii,6.219193432355238,-75.5899774440466,587,3,421,42,67,741,0,111,50,770,241
parque norte,6.272277928340925,-75.56798871060637,116,1,106,27,19,154,0,15,8,170,53
patio bonito,6.206396391976552,-75.57556274583374,483,4,713,41,51,994,0,85,29,1002,198
pedregal,6.300892931196091,-75.57325406497682,883,1,227,190,192,501,0,176,52,757,354
pedregal alto,6.28676771997774,-75.62864547390616,74,0,16,4,17,33,0,28,8,66,24
perpetuo socorro,6.234319335842472,-75.57308117161698,2385,9,2686,198,294,3978,0,454,156,4171,909
picachito,6.300187480345396,-75.58539443901103,84,0,19,17,24,40,0,15,7,70,33
picacho,6.296409932682328,-75.5842262803951,699,1,199,155,207,357,0,148,32,622,277
piedra gorda,6.236448272549175,-75.49578310459988,0,0,1,0,0,1,0,0,0,1,0
piedras blancas - matasano,6.273219392857074,-75.51781513113687,97,1,29,40,21,44,0,17,5,89,38
playon de los comuneros,6.306826676335934,-75.55279193509676,257,1,135,72,28,235,0,41,17,267,126
plaza de ferias,6.299782582377654,-75.56250360800668,85,1,53,8,8,109,0,9,5,101,38
popular,6.3002784128765255,-75.54689073641228,381,0,152,138,81,221,1,69,23,356,177
potrerito,6.183216352747076,-75.67191253430306,7,0,0,3,1,3,0,0,0,4,3
prado,6.259687863850311,-75.56165488433084,1362,5,968,183,159,1703,2,210,78,1810,525
progreso no.2,6.3066980144955815,-75.58304283557007,107,0,45,24,28,74,0,23,3,110,42
robledo,6.275776629596468,-75.59770637490111,887,3,347,99,208,638,0,209,83,874,363
rosales,6.235304234760656,-75.5907511552747,936,2,814,87,105,1373,0,138,49,1348,404
san antonio,6.238027287308074,-75.53639885151011,32,0,4,9,7,12,0,7,1,27,9
san antonio de prado,6.180549297514728,-75.64741272243447,2148,9,1572,470,283,2439,1,394,142,2825,904
san benito,6.254307174579084,-75.57325388093285,1559,14,1950,404,210,2562,1,253,93,2793,730
san bernardo,6.226075772695994,-75.59558003140928,761,3,505,123,112,841,0,133,60,932,337
san diego,6.232839273163399,-75.56776191565683,1292,3,1970,160,196,2519,0,288,102,2622,643
san german,6.268950259693298,-75.58845675100376,558,1,484,89,71,743,0,106,34,823,220
san isidro,6.286889156833478,-75.56061349982384,881,0,345,177,148,672,0,174,55,848,378
san javier no.1,6.255831199595638,-75.61731026615685,552,0,254,104,99,455,0,108,40,588,218
san javier no.2,6.258021574509852,-75.61423083622968,195,1,118,69,34,174,0,32,5,208,106
san joaquin,6.246399881067516,-75.58555718443048,301,0,354,39,23,518,0,51,24,513,142
san jose la cima no.1,6.283731519907617,-75.54257510061217,34,0,6,14,4,16,0,4,2,23,17
san jose la cima no.2,6.278421926560114,-75.54322017279284,21,0,1,4,7,1,0,6,4,15,7
san jose de la montana,6.310251311517265,-75.63889590852553,2,0,1,0,0,1,0,1,1,2,1
san jose del manzanillo,6.206461720855666,-75.61091927604161,0,0,1,0,0,1,0,0,0,1,0
san lucas,6.181352508824795,-75.56494903270993,75,0,250,10,9,282,0,14,10,274,51
san martin de porres,6.294538243440695,-75.58042768867993,545,1,185,119,138,317,0,118,39,505,226
san miguel,6.255160011918827,-75.55596512062215,683,0,291,81,93,638,0,116,46,720,254
san pablo,6.287544313653214,-75.54591903026962,309,0,89,99,63,157,0,55,24,253,145
san pedro,6.266960765001187,-75.5607002673316,556,1,455,107,77,711,1,99,17,747,265
santa cruz,6.293217241716201,-75.55889325259155,288,1,97,90,36,201,0,51,8,257,129
santa elena sector central,6.209486118747852,-75.49840676506203,4,0,4,0,0,6,0,1,1,4,4
santa fe,6.2224057402014825,-75.58114665009204,2177,8,1784,229,278,2884,1,409,168,3211,758
santa ines,6.272945811788875,-75.54724613633708,467,0,183,121,71,317,0,111,30,467,183
santa lucia,6.257713736074457,-75.6071510086676,184,0,110,45,33,176,0,28,12,202,92
santa margarita,6.275870444036196,-75.61538324806776,289,1,95,38,80,186,0,63,18,272,113
santa maria de los angeles,6.190450803696123,-75.57975250718914,513,1,743,40,58,991,0,132,36,1036,221
santa monica,6.248100517795549,-75.61336619669844,280,1,149,23,40,305,0,51,11,312,118
santa rosa de lima,6.2649885460349335,-75.60638040681182,20,0,9,5,4,16,0,4,0,20,9
santa teresita,6.2435592791907855,-75.61178855003045,187,0,166,23,13,281,0,25,11,267,86
santander,6.3070636853772,-75.57469441253622,552,1,147,149,130,292,0,107,22,482,218
santo domingo savio no.1,6.2969634749236185,-75.5439158362394,451,0,123,192,74,180,0,94,34,377,197
santo domingo savio no.2,6.299277132784452,-75.53976735407365,120,0,34,53,27,50,0,19,5,107,47
sevilla,6.266490458256113,-75.56472190719259,828,3,688,150,142,1036,0,149,42,1183,336
simon bolivar,6.245929908594951,-75.60515519137658,292,0,251,28,27,445,0,31,12,418,125
sucre,6.24521994152901,-75.55175212860351,534,3,231,71,61,506,0,96,34,569,199
suramericana,6.254668987904198,-75.58291722397995,836,1,1039,92,105,1471,1,167,40,1478,398
tejelo,6.305850634040259,-75.56875357360643,639,1,215,133,145,413,0,118,46,628,227
tenche,6.231246010883284,-75.58032824869515,551,2,577,48,50,914,0,95,23,935,195
terminal de transporte,6.278427790948311,-75.57099455826334,1508,1,1674,173,232,2321,0,366,91,2420,763
toscana,6.307394899167023,-75.55854156194732,719,8,540,81,92,934,0,111,49,950,317
travesias,6.287884939523969,-75.64334985805884,72,0,24,19,15,41,0,13,8,69,27
trece de noviembre,6.246622110962393,-75.54101648531358,49,0,46,28,3,55,0,7,2,71,24
tricentenario,6.291341243613257,-75.56635380660906,634,4,482,55,94,783,0,132,56,819,301
trinidad,6.2276360093529775,-75.58336044853813,737,2,534,168,66,909,0,95,35,964,309
u.d. atanasio girardot,6.256482533632584,-75.59011636742288,187,0,150,39,22,227,0,42,7,253,84
u.p.b,6.24226336176524,-75.58949455380804,51,0,91,5,8,113,0,10,6,118,24
universidad nacional,6.262530347134717,-75.57617196958023,1039,2,960,93,129,1513,0,186,80,1574,427
universidad de antioquia,6.2675060377671,-75.56922699438466,609,3,455,49,113,703,0,150,52,832,235
veinte de julio,6.252229459150885,-75.620993243292,310,1,86,84,41,198,0,57,17,272,125
versalles no.1,6.264672565869201,-75.54392128376065,442,0,179,148,81,250,0,110,32,423,198
versalles no.2,6.264985228986246,-75.5396706822378,53,0,32,20,14,40,0,8,3,64,21
villa carlota,6.2199446242293925,-75.57355040368108,1061,5,1554,90,102,2198,2,150,78,2207,413
villa flora,6.279616025112731,-75.5908406273746,646,0,342,57,144,582,0,169,36,699,289
villa guadalupe,6.287398229367709,-75.55169490068522,350,1,111,107,65,190,0,77,23,323,139
villa hermosa,6.257727540625679,-75.54995247176387,503,1,174,126,73,348,0,96,35,455,223
villa lilliam,6.23558857421737,-75.53307041593159,121,2,35,45,24,59,0,19,11,93,65
villa niza,6.296222212878263,-75.55765797602993,148,0,77,41,30,118,0,26,10,164,61
villa nueva,6.253467738857897,-75.56367577558004,1763,5,1942,470,256,2629,1,252,102,2924,786
villa turbay,6.237172562799421,-75.5300713304358,45,0,9,11,12,18,0,12,1,36,18
villa del socorro,6.294672095735861,-75.55293404387717,340,0,169,104,55,254,0,75,21,338,171
villatina,6.237023631911479,-75.53957761594505,438,0,150,118,95,233,0,99,43,398,190
volcana guayabal,6.31916006110051,-75.6789161595231,3,0,0,1,0,0,0,1,1,3,0
yarumalito,6.22851094078429,-75.6927658531668,1,0,0,0,0,0,0,0,1,1,0
yolombo,6.30446299430554,-75.61393303910182,22,0,14,1,0,26,0,7,2,25,11
area de expansion altavista,6.221182517017287,-75.61398153938653,33,0,6,6,7,18,0,4,4,27,12
area de expansion belen rincon,6.2147096260957095,-75.60695496870392,2,0,9,0,0,11,0,0,0,8,3
area de expansion pajarito,6.2843956920735575,-75.6134978465039,784,3,237,120,173,451,1,202,77,728,296
area de expansion san antonio de prado,6.17758096922262,-75.65503549479456,59,0,22,11,11,45,0,8,6,53,28
